DATE DELIVERED,VERIS PATH,RELATIONSHIP TYPE,TECHNIQUE ID
23/02/23,actor.external.motive.Espionage,related-to,G0068
23/02/23,actor.external.motive.Espionage,related-to,G1005
23/02/23,actor.external.motive.Espionage,related-to,G0033
23/02/23,actor.external.motive.Espionage,related-to,G0056
23/02/23,actor.external.motive.Espionage,related-to,G0024
23/02/23,actor.external.motive.Espionage,related-to,G0075
23/02/23,actor.external.motive.Espionage,related-to,G0034
23/02/23,actor.external.motive.Espionage,related-to,G0029
23/02/23,actor.external.motive.Espionage,related-to,G1008
23/02/23,actor.external.motive.Espionage,related-to,G0121
23/02/23,actor.external.motive.Espionage,related-to,G0122
23/02/23,actor.external.motive.Espionage,related-to,G0054
23/02/23,actor.external.motive.Espionage,related-to,G0038
23/02/23,actor.external.motive.Espionage,related-to,G0041
23/02/23,actor.external.motive.Espionage,related-to,G0039
23/02/23,actor.external.motive.Espionage,related-to,G0062
23/02/23,actor.external.motive.Espionage,related-to,G0088
23/02/23,actor.external.motive.Espionage,related-to,G0089
23/02/23,actor.external.motive.Espionage,related-to,G0027
23/02/23,actor.external.motive.Espionage,related-to,G0076
23/02/23,actor.external.motive.Espionage,related-to,G0131
23/02/23,actor.external.motive.Espionage,related-to,G0134
23/02/23,actor.external.motive.Espionage,related-to,G0081
23/02/23,actor.external.motive.Espionage,related-to,G0010
23/02/23,actor.external.motive.Espionage,related-to,G0123
23/02/23,actor.external.motive.Espionage,related-to,G0107
23/02/23,actor.external.motive.Espionage,related-to,G0112
23/02/23,actor.external.motive.Espionage,related-to,G0044
23/02/23,actor.external.motive.Espionage,related-to,G0090
23/02/23,actor.external.motive.Espionage,related-to,G0128
23/02/23,actor.external.motive.Financial,related-to,G0138
23/02/23,actor.external.motive.Financial,related-to,G0082
23/02/23,actor.external.motive.Financial,related-to,G0096
23/02/23,actor.external.motive.Financial,related-to,G0108
23/02/23,actor.external.motive.Financial,related-to,G0008
23/02/23,actor.external.motive.Financial,related-to,G0080
23/02/23,actor.external.motive.Financial,related-to,G0105
23/02/23,actor.external.motive.Financial,related-to,G1006
23/02/23,actor.external.motive.Financial,related-to,G0120
23/02/23,actor.external.motive.Financial,related-to,G1011
23/02/23,actor.external.motive.Financial,related-to,G0051
23/02/23,actor.external.motive.Financial,related-to,G0085
23/02/23,actor.external.motive.Financial,related-to,G0053
23/02/23,actor.external.motive.Financial,related-to,G0037
23/02/23,actor.external.motive.Financial,related-to,G0046
23/02/23,actor.external.motive.Financial,related-to,G0061
23/02/23,actor.external.motive.Financial,related-to,G0036
23/02/23,actor.external.motive.Financial,related-to,G0115
23/02/23,actor.external.motive.Financial,related-to,G0119
23/02/23,actor.external.motive.Financial,related-to,G0004
23/02/23,actor.external.motive.Financial,related-to,G1004
23/02/23,actor.external.motive.Financial,related-to,G0032
23/02/23,actor.external.motive.Financial,related-to,G0045
23/02/23,actor.external.motive.Financial,related-to,G0033
23/02/23,actor.external.motive.Financial,related-to,G0106
23/02/23,actor.external.motive.Financial,related-to,G0048
23/02/23,actor.external.motive.Financial,related-to,G0091
23/02/23,actor.external.motive.Financial,related-to,G0122
23/02/23,actor.external.motive.Financial,related-to,G0083
23/02/23,actor.external.motive.Financial,related-to,G0062
23/02/23,actor.external.motive.Financial,related-to,G0092
23/02/23,actor.external.motive.Financial,related-to,G0127
23/02/23,actor.external.motive.Financial,related-to,G0139
23/02/23,actor.external.motive.Financial,related-to,G0124
23/02/23,actor.external.motive.Financial,related-to,G0102
